ParticipantID,Age,Gender,Height,Weight,BMI,ExerciseFrequency,ExerciseDuration,ExerciseIntensity,FlexibilityScore,StrengthScore,EnduranceScore,Age_Group,BMI_Group
1,24,0,180,80,24.7,3,45,2,7,7,8,20-29,Normal weight
2,45,1,167,65,23.3,5,60,3,5,6,7,40-49,Normal weight
3,32,0,172,85,28.7,4,30,1,4,5,6,30-39,Overweight
4,22,1,160,55,21.5,2,40,2,6,7,7,20-29,Normal weight
5,37,0,177,72,23.0,3,45,2,7,8,9,30-39,Normal weight
6,29,1,165,62,22.8,4,30,1,5,6,6,20-29,Normal weight
7,41,0,183,89,26.6,5,60,3,6,7,8,40-49,Overweight
8,27,1,158,53,21.2,1,20,1,4,5,5,20-29,Normal weight
9,35,0,175,70,22.9,2,40,2,7,7,7,30-39,Normal weight
10,24,1,162,57,21.7,3,45,1,6,6,6,20-29,Normal weight
11,33,0,169,82,28.7,4,50,3,5,6,7,30-39,Overweight
12,38,1,170,68,23.5,2,30,1,4,5,6,30-39,Normal weight
13,23,0,182,75,22.6,3,40,2,7,7,8,20-29,Normal weight
14,44,1,164,59,21.9,5,60,2,5,6,7,40-49,Normal weight
15,31,0,174,88,29.1,1,20,1,4,5,6,30-39,Overweight
16,25,1,160,56,21.9,2,30,2,6,7,7,20-29,Normal weight
17,36,0,178,80,25.3,3,45,3,7,8,9,30-39,Overweight
18,28,1,163,62,23.3,4,30,1,5,6,6,20-29,Normal weight
19,42,0,186,92,26.6,5,60,3,6,7,8,40-49,Overweight
20,26,1,157,51,20.7,1,20,1,4,5,5,20-29,Normal weight
21,34,0,172,85,28.7,4,30,1,4,5,6,30-39,Overweight
22,39,1,161,58,22.4,5,60,3,5,6,7,30-39,Normal weight
23,21,0,181,77,23.5,3,45,2,7,7,8,20-29,Normal weight
24,43,1,166,64,23.2,2,40,2,6,7,7,40-49,Normal weight
25,30,0,173,87,29.1,1,20,1,4,5,6,20-29,Overweight
26,24,1,159,55,21.8,2,30,2,6,7,7,20-29,Normal weight
27,37,0,177,72,23.0,3,45,2,7,8,9,30-39,Normal weight
28,29,1,165,62,22.8,4,30,1,5,6,6,20-29,Normal weight
29,40,0,184,90,26.6,5,60,3,6,7,8,40-49,Overweight
30,28,1,159,54,21.4,1,20,1,4,5,5,20-29,Normal weight
31,33,0,170,81,28.1,4,50,3,5,6,7,30-39,Overweight
32,39,1,171,69,23.6,2,30,1,4,5,6,30-39,Normal weight
33,20,0,179,74,23.1,3,40,2,7,7,8,20-29,Normal weight
34,42,1,163,60,22.6,5,60,2,5,6,7,40-49,Normal weight
35,31,0,175,87,28.4,1,20,1,4,5,6,30-39,Overweight
36,25,1,161,57,22.0,2,30,2,6,7,7,20-29,Normal weight
37,36,0,178,81,25.6,3,45,3,7,8,9,30-39,Overweight
38,27,1,164,61,22.7,4,30,1,5,6,6,20-29,Normal weight
39,41,0,187,93,26.7,5,60,3,6,7,8,40-49,Overweight
40,28,1,160,56,21.9,1,20,1,4,5,5,20-29,Normal weight
